ISO_A3,Country_Name,esperance_vie_hom,esperance_vie_fem,pop_0a14_p100,pop_15a64_p100,pop_65plus_p100,densite_pop,tx_mortalite_p1000,tx_fertilite,pop_rurale_p100,imports_p100GDP,exports_p100GDP,immigration,pop_refugies,transport_aerien,PIB_pcapita,PIB_pays,taux_emploi_p100,emploi_agric_p100,ratio_FH_emploi,articles_scientif,surface_agri_p100,surface_foret_p100,zones_terr_protegees_p100,pop_urbaine_p100,ressource_eau_pcapita,emissions_CO2,pop_expo_partic_fine_p100,pop_diabete_p100,mortalite_maladies_p100,mortalite_infant_0a5ans,pop_rurale_sanitaire_p100,acces_electricite_p100,tourisme_internat_p100export,apport_nrj_alim_p100besoin,preval_obesite_adult_p100,age_median,indice_dvpt_humain,political_regime,global_freedom_score_p100,groupe_economie_pays,groupe_PIB_pays,continent,region_ONU,sous_region,region_WB,Long,Lat,temp_dec19,temp_jan20,temp_fev20,temp_mar20,temp_mean,population,AUC_SI,AUC_confirmed,AUC_deaths,AUC_recovered,AUC_confirmed_pmillion,AUC_deaths_pmillion,AUC_recovered_pmillion,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max,confirmed_30avr,deaths_30avr,recovered_30avr,confirmed_p_million,deaths_p_million,recovered_p_million,b_confirmed,Asym_confirmed,xmid_confirmed,b_deaths,Asym_deaths,xmid_deaths,b_recovered,Asym_recovered,xmid_recovered,date_first_cases,days_since_first_cases
IDN,Indonesia,69.4,73.7,26.6,67.6,5.8,147.8,6.5,2.3,44.7,19.2,20.2,-494777.0,12157.0,115154100.9,12670,1042173300625.55,67.5,28.6,64.8,26947.6,31.5,49.9,12.2,55.3,7914,1.8,96,6.3,26.4,25,64.5,98.1,7.5,126,6.9,30.2,0.938,Presidential Republic,61,4. Emerging region: MIKT,4. Lower middle income,Asia,Asia,South-Eastern Asia,East Asia & Pacific,113.325229758336,0.104905503000055,23.339990234375,23.35,23.4299865722656,23.6199890136719,23.4349914550781,273523621,4256.91,171881,14660,14660,628.395454007243,53.596833598514,53.596833598514,-59,24,53,74.88,10118,792,1522,36.9913207605569,2.89554517121576,5.56441887700807,0.039313335248021,24123.3457039685,18378.1233149145,0.049475306717085,1423.07056382229,18369.7726615652,0.030864412374885,9663.3297958319,18402.5832647604,3/2/2020,59
IND,India,68.2,70.7,27.1,66.8,6.1,454.9,7.2,2.2,66.0,22.0,18.8,-2663434.0,9602.0,164035637.5,7680,2718732231257.57,49.3,42.4,27,135787.8,60.4,23.8,6,34,1116,1.7,100,10.4,23.3,36.6,53.2,92.6,5.4,109,3.8,28.1,0.707,Parliamentary republic,71,3. Emerging region: BRIC,4. Lower middle income,Asia,Asia,Southern Asia,South Asia,80.2265066120594,21.7867495790001,20.3699890136719,19.9200073242188,21.7000061035156,26.339990234375,22.0824981689453,1380004385,4775.435,440513.5,14066,14066,319.211666852783,10.1927212354474,10.1927212354474,-4,48,52,100,34863,1154,9068,25.26296320428,0.836229226909304,6.57099361318334,0.040926678147566,118070.374516965,18386.947498424,0.043562614272725,3402.92829189612,18384.5360883658,0.047521389295439,47252.1359727632,18392.4130846137,1/30/2020,91
IRL,Ireland,80.9,84.4,21.4,64.7,13.9,70.5,6.4,1.8,36.8,99.0,121.0,118020.0,4.0,167598633.0,67050,382487490532.479,62.1,4.6,81.9,7174.1,64.5,11,14.4,63.2,10520,7.3,0,3.2,10.3,3.7,94.3,100,3.1,147,26.9,36.8,0.797,Parliamentary republic,97,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia,-7.95824197237397,53.4160627300001,6.08999023437502,6.14998779296877,5.71999511718752,6.42000732421877,6.09499511718752,4937796,4192.665,378863,16340,16340,76727.1470915364,3309.16870603808,3309.16870603808,-25,15,37,91.8,20612,1232,13386,4174.3320299178,249.504029733104,2710.92608929166,0.058160368103065,32302.3270451719,18366.930755938,0.041157104132132,4279.48725940838,18386.5354631632,3.78365310878808,10163.4633360715,18372.394428456,2/29/2020,61
IRN,"Iran, Islamic Rep.",75.4,77.7,24.5,69.3,6.2,50.2,4.8,2.1,25.1,23.8,24.9,-274998.0,129940.0,25604871.4,NA,NA,44.7,17.9,24.5,48305.6,28.2,6.6,8.6,74.9,1659,8.4,100,9.6,14.8,14.4,78.8,100,NA,131,25.5,30.3,0.689,Presidential Republic,17,5. Emerging region: G20,3. Upper middle income,Asia,Asia,Southern Asia,Middle East & North Africa,54.0755796301338,32.4216655480001,8.3699890136719,5.14998779296877,10.0299926757813,12.4900146484375,9.00999603271487,83992953,3327.115,2736081,172680,172680,32575.1256775077,2055.88675992854,2055.88675992854,1,32,46,65.34,94640,6028,75103,1126.76119388254,71.7679255782327,894.158346831787,0.055075072803517,114153.069672088,18350.7805235542,0.057922578825203,6904.84836362312,18349.5051543843,0.048958266869945,122976.452752733,18366.1339980418,2/19/2020,71
IRQ,Iraq,68.4,72.5,38.4,58.3,3.3,88.5,4.8,3.7,29.5,35.6,38.1,39171.0,372342.0,2075065.8,17210,224228010477.889,43,18.1,15.7,6073.4,21.4,1.9,1.5,70.5,1023,4.9,100,8.8,21.3,26.7,88,100,2.2,109,27.4,20,0.942,Parliamentary republic,31,6. Developing region,4. Lower middle income,Asia,Asia,Western Asia,Middle East & North Africa,42.4921070519463,33.2214487715001,12.6799865722656,10.2099853515625,12.360009765625,17.7099853515625,13.2399917602539,40222503,5464.455,47820.5,2737.5,2737.5,1188.89915925918,68.0589171688296,68.0589171688296,-5,3,31,97.35,2085,93,1375,51.8366547203688,2.31213855587257,34.1848442400514,0.060232469352474,2379.77546848774,18355.6981735777,0.077763922121134,96.9696513474954,18347.4216724329,0.067752987741402,1932.0511195118,18365.2303967896,2/24/2020,66
ISL,Iceland,81.1,84.3,19.8,65.4,14.8,3.5,6.4,1.7,6.2,42.0,46.1,1900.0,4.0,7819740.6,55190,25878475760.1131,75,3.9,89.4,680.9,18.7,0.5,18.2,93.8,519265,6.1,10,5.8,9.1,2,100,100,25.6,137,23.1,36.5,NA,Parliamentary republic,94,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Northern Europe,Europe & Central Asia,-18.4676482726456,64.9647077495,-2.63999023437498,-2.64999999999998,-2.91000976562498,-2.47000732421873,-2.66750183105466,341250,3408.055,60543.5,256,256,177416.84981685,750.18315018315,750.18315018315,-36,17,21,56.61,1797,10,1670,5265.93406593407,29.3040293040293,4893.77289377289,0.113120243562041,1866.01784012501,18344.8951451786,0.082439379830935,11.9354365357212,18355.4366574553,0.088672467629955,2017.86059564855,18361.6918750429,2/28/2020,62
ISR,Israel,80.9,84.8,27.9,60.1,12.0,410.5,5.0,3.1,7.6,27.5,28.7,50002.0,502.0,7404373.0,39940,370587977153.583,64,0.9,87.1,12234.7,24.6,7.7,19.9,92.4,91,7.9,100,9.7,9.6,3.7,100,100,7.4,160,26.7,29.9,0.906,Parliamentary republic,76,2. Developed region: nonG7,1. High income: OECD,Asia,Asia,Western Asia,Middle East & North Africa,34.6627193143303,31.4461644085,16.089990234375,12.9299865722656,14.4599853515625,17.6899963378906,15.2924896240235,8655541,5162.825,385638,3943,3943,44553.88750397,455.546337311556,455.546337311556,-25,21,47,96.03,15946,222,8561,1842.28807881564,25.6483101402905,989.077401401022,0.090174609771002,17044.9956079857,18353.8133900556,0.089045879930894,263.110632088042,18362.4594105255,0.054378333134414,23394.721490034,18381.8875461071,2/21/2020,69
ITA,Italy,80.8,85.2,13.3,63.9,22.8,205.5,10.5,1.3,29.6,27.9,30.8,744713.0,69.0,27630435.6,42290,2083864259622.65,49.6,3.7,69.1,71240.3,43.2,31.8,21.5,70.4,3002,5.3,95,5,9.5,3,98.6,100,7.9,144,22.9,45.5,0.883,Parliamentary republic,89,1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,Europe & Central Asia,12.6920345894384,42.4924867885001,9.4999938964844,7.70000610351565,9.05001220703127,8.5200134277344,8.69250640869143,60461828,6324.17,6036881.5,746716.5,746716.5,99846.1624415325,12350.2137580094,12350.2137580094,-8,23,72,94.58,205463,27967,75945,3398.22672910253,462.556309081492,1256.08177113004,0.063432883854892,227456.221198537,18348.1092135207,0.065655856221382,31579.6366101677,18351.5141755103,0.028178048304844,248765.446768575,18388.684195645,1/31/2020,90
JAM,Jamaica,72.8,76.0,23.8,67.5,8.7,271.0,7.6,2.0,44.3,48.9,34.7,-56658.0,2453.0,180951.3,8900,15713908816.1463,66,15.9,82.5,163.9,41,30.9,15.9,55.7,3763,2.6,100,11.3,14.7,14.4,89.5,99.5,53.4,114,24.4,26,0.726,Constitutional parliamentary monarchy,78,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean,-77.1758260188891,18.1191470395001,26.2700134277344,25.4500061035156,25.9800048828125,25.7199951171875,25.8550048828125,2961161,4512.275,5182,156,156,1749.98927785419,52.6820392406897,52.6820392406897,-40,2,47,85.31,422,8,29,142.511670253661,2.70164303798409,9.79345601269232,0.008753488461729,3369450.19310557,18632.2523675832,0.047542240422771,11.4672719608209,18364.3235488446,0.131198443053488,32.0699184035115,18360.8110559607,3/11/2020,50
JOR,Jordan,72.7,76.2,34.2,61.9,3.9,112.1,3.9,2.8,9.0,56.4,35.1,51099.0,2442.0,3383805.0,9430,42231295774.6479,39.3,3.1,22.6,2627.3,12,1.1,1.8,91,76,3,100,12.7,19.2,16.2,96.3,100,41.3,114,33.4,22.5,0.915,Constitutional monarchy,37,6. Developing region,3. Upper middle income,Asia,Asia,Western Asia,Middle East & North Africa,36.2997048693305,31.2698495490001,10.8300109863281,7.5100036621094,9.1299987792969,13.1799865722656,10.1625,10203140,4507.65,14010.5,211,211,1373.15571480936,20.6799083419418,20.6799083419418,0,15,15,100,453,8,362,44.3980970563964,0.784072354196845,35.4792740274072,0.113448553778834,447.932017730803,18345.6570550045,0.263726894538985,7.12195086131337,18349.9735411578,0.108179249006512,389.218424147753,18360.0944665942,3/3/2020,58
JPN,Japan,81.3,87.3,12.7,59.7,27.6,347.1,11.0,1.4,8.4,16.8,17.8,357800.0,48.0,126387527.0,44380,4971323079771.87,61.7,3.4,74,98792.5,12.3,68.5,29.4,91.6,3378,9.5,77,5.6,8.4,2.5,NA,100,4.9,114,4.4,47.3,0.723,Constitutional parliamentary monarchy,96,1. Developed region: G7,1. High income: OECD,Asia,Asia,Eastern Asia,East Asia & Pacific,143.337654659044,43.4621239275,-4.94000854492185,-7.2299865722656,-6.8800109863281,-0.919989013671852,-4.99249877929685,126476458,3729.29,275528,6691,6691,2178.4923799811,52.9031260505414,52.9031260505414,-8,54,79,53.3,14088,430,2460,111.388318607088,3.39984220620726,19.4502600634183,0.048464423950967,27066.3343167098,18370.9019095208,0.00611676522516,15861731.37435,18765.5926982991,0.004598936515367,494725093.643157,18927.6902777857,1/15/2020,106
KAZ,Kazakhstan,68.8,77.2,28.5,64.1,7.4,6.8,7.1,2.8,42.6,25.6,33.6,-90000.0,2529.0,7143797.0,24450,179339994859.384,68.8,15.8,83,2367.5,80.4,1.2,3.3,57.4,3722,14.4,87,6.1,26.8,9.9,99,100,4,138,21.3,30.6,0.817,Presidential Republic,23,6. Developing region,3. Upper middle income,Asia,Asia,Central Asia,Europe & Central Asia,66.3258992299368,48.0108690390001,-6.07001342773435,-8.32001342773435,-5.88999023437498,0.290002441406273,-4.99750366210935,18776707,3727.08,46454,439.5,439.5,2474.02273465736,23.4066601774209,23.4066601774209,-1,5,17,84.14,3402,25,866,181.181929291435,1.33143687016046,46.1209731823583,0.028161617781994,20383.4635729254,18402.9127822569,0.07639449071626,34.7851726697509,18365.3052265384,0.087961313578872,1359.30399445861,18373.4428415433,3/13/2020,48
KEN,Kenya,64.0,68.7,39.8,57.9,2.3,90.3,5.5,3.5,73.0,24.2,13.3,-50000.0,7489.0,5935831.1,3440,87908262519.9164,74.7,54.4,93.3,1246.8,48.5,7.8,12.4,27,443,0.3,100,3.1,13.4,41.1,27,63.8,15,98,6,19.7,0.579,Presidential Republic,48,5. Emerging region: G20,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa,37.447921283846,0.154823710000095,17.5500122070313,17.9399963378906,18.4699951171875,19.0100036621094,18.2425018310547,53771300,4230.095,7435,294.5,294.5,138.270787576272,5.47689938684763,5.47689938684763,-53,2,44,93.66,396,17,144,7.3645234539615,0.316153784639761,2.67800852871327,0.059668861202707,530.819325816917,18363.2889005491,0.100096306837522,17.4516836788304,18360.4424053645,0.063515842970789,284.254075577304,18377.2654196486,3/13/2020,48
KGZ,Kyrgyz Republic,67.4,75.6,32.4,63.2,4.4,32.9,5.2,3.3,63.6,66.4,34.3,-20000.0,2942.0,709198.9,3780,8092836608.78875,59.8,21.2,59.1,137.1,55,3.3,6.7,36.4,8385,1.6,97,6.1,24.9,18.9,99.2,100,18.7,120,15.4,26.5,0.906,Parliamentary republic,39,6. Developing region,5. Low income,Asia,Asia,Central Asia,Europe & Central Asia,75.0697473611101,41.2246682740001,-8.60001220703123,-12.410009765625,-6.63999023437498,0.339990234375023,-6.82750549316404,6524191,4671.195,13474,150,150,2065.23690063642,22.9913563229525,22.9913563229525,-56,-1,7,87.31,746,8,462,114.343678779484,1.22620567055747,70.8133774746938,0.072319970813498,980.136582777022,18363.8065078225,0.12739724907518,8.42267270480676,18359.898082206,0.080327448623772,972.658683321839,18377.8124174943,3/18/2020,43
KOR,"Korea, Rep.",79.7,85.7,13.0,72.6,14.4,529.7,5.8,1.0,18.5,37.7,43.1,58657.0,279.0,88157579.0,40090,1619423701169.63,63,4.9,72.4,66376.2,17.4,63.4,11.7,81.5,1278,11.6,100,6.9,7.8,3.2,NA,100,2.7,135,4.9,41.8,0.674,Presidential Republic,83,4. Emerging region: MIKT,1. High income: OECD,Asia,Asia,Eastern Asia,East Asia & Pacific,128.01105070332,36.4604512400001,1.23000488281252,1.39998779296877,2.55999145507815,7.23000488281252,3.10499725341799,51269183,5196.23,567125.5,9098,9098,11061.7229847411,177.455529182121,177.455529182121,11,34,77,83.46,10774,248,9072,210.145732183795,4.83721380931699,176.948401927918,0.11649980274399,10414.1530124303,18322.4164034558,0.050479299218482,290.406486046797,18341.7644404669,0.093060625259211,8989.28333339821,18345.2124198667,1/20/2020,101
KWT,Kuwait,74.7,76.5,21.5,75.9,2.6,232.2,2.7,2.1,0.0,46.6,51.2,197600.0,1257.0,6464847.0,84250,140645364238.411,73.5,2,56.8,1003.8,8.4,0.4,17.5,100,0,25.8,100,12.2,17.4,7.9,NA,100,1.1,136,37,29.3,0.604,Constitutional monarchy,36,6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,Middle East & North Africa,47.4177421393198,29.3143047465001,15.9399963378906,13.7499938964844,13.5200134277344,20.6899963378906,15.975,4270563,4903.495,53681,221,221,12570.0054067813,51.7496170879577,51.7496170879577,-32,16,63,91.01,4024,26,1539,942.26452109476,6.08819024564209,360.374030309353,0.013173477564504,476336.572172641,18500.8928253438,0.103922934710511,46.6847778059111,18376.6660509959,0.010332492455514,541707840.036473,18628.7634009539,2/24/2020,66
LAO,Lao PDR,65.8,69.4,32.6,63.3,4.1,30.6,6.4,2.7,65.0,NA,NA,-73518.0,6938.0,1251961.8,7090,17953786416.1431,78.5,62.4,95.7,86.9,10.3,82.1,16.7,35,28676,0.3,100,6.4,27,47.3,63.5,93.6,12.2,106,4.5,23,0.854,One-party state,14,7. Least developed region,4. Lower middle income,Asia,Asia,South-Eastern Asia,East Asia & Pacific,104.683522423417,18.2055048625,19.4900146484375,21.2799926757813,21.3900085449219,25.2900024414063,21.8625045776367,7275556,3546.355,543.5,0,0,74.7021945814176,0,0,-13,6,6,97.35,19,0,8,2.61148426319583,0,1.09957232134561,0.136090897074298,19.9649164940621,18350.5516725776,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.111472827857528,13.9187142812677,18376.3750643203,3/24/2020,37
LBN,Lebanon,77.1,80.8,26.1,66.9,7.0,669.5,4.4,2.1,11.4,48.6,23.9,-150060.0,5639.0,2981937.0,13010,56639155555.5556,47,13.6,32,1776.3,64.3,13.4,2.6,88.6,766,3.8,100,11.2,17.9,7.4,NA,100,45.4,114,31.3,30.5,0.73,Parliamentary republic,44,6. Developing region,3. Upper middle income,Asia,Asia,Western Asia,Middle East & North Africa,35.9069348866109,33.8691999310001,9.7499938964844,6.98000488281252,7.8799987792969,11.5800109863281,9.04750213623049,6825442,4663.685,23773.5,714,714,3483.07113297571,104.608609962549,104.608609962549,-8,24,26,89.41,725,24,150,106.220227202868,3.51625579706047,21.9765987316279,0.088789087906081,740.211505274067,18343.9091461721,0.098801552721439,24.5060166471628,18347.8555748509,0.042092808616229,278.637271658663,18369.6767962101,2/21/2020,69
LBR,Liberia,62.3,65.1,41.1,55.6,3.3,50.0,7.5,4.3,48.8,98.7,24.3,-25000.0,5525.0,NA,1130,3264000000,76.3,43.3,89.4,25.4,28,43.1,4.1,51.2,45877,0.2,100,2.4,17.6,70.9,5.9,21.5,NA,113,8.6,17.8,0.465,Presidential Republic,60,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa,-9.68519563585971,6.45567942350008,28.0700012207031,27.7300048828125,28.9200073242188,29.0400024414063,28.4400039672852,5057677,3269.995,2026.5,194,194,400.67801878214,38.3575305421837,38.3575305421837,-2,6,27,80.29,141,16,45,27.8784113734428,3.16350767358216,8.89736533194983,0.0810663052586,200.328510953123,18368.7671744675,0.031049252831811,88.2760422783658,18399.9333813616,0.014693642178046,592450.702937846,18534.5138831819,3/16/2020,45
LBY,Libya,69.9,75.8,28.3,67.3,4.4,3.8,5.1,2.2,19.9,39.8,49.9,-9997.0,13874.0,927153.9,21340,48364208571.4286,49.7,18.9,52,161.9,8.7,0.1,0.2,80.1,110,9,100,10.2,20.1,12,NA,70.1,NA,101,31.8,28.9,0.708,No constitutionally defined basis to current regime,9,6. Developing region,3. Upper middle income,Africa,Africa,Northern Africa,Middle East & North Africa,17.2316144202501,26.342579244,14.4699951171875,12.0100036621094,14.0400024414063,19.1799865722656,14.9249969482422,6871287,4059.915,1182.5,36.5,36.5,172.092942704911,5.31195975368224,5.31195975368224,-10,-8,24,100,61,3,18,8.87752178012649,0.436599431809499,2.619596590857,0.085648212293475,79.1260041019823,18362.4756008348,0.025591289422474,12.0239858615388,18401.4852264334,0.121055992183873,20.6005624614822,18363.8255322006,3/24/2020,37
LKA,Sri Lanka,73.4,80.1,24.2,65.3,10.5,345.6,6.7,2.2,81.5,28.9,21.7,-489932.0,113963.0,5882376.0,13110,88900770857.6351,53.9,24.5,47.5,1347.5,43.7,32.9,29.9,18.5,2541,0.9,46,10.7,17.4,7.4,96,97.5,27.7,115,5.4,32.8,0.909,Semi-Presidential Republic,56,6. Developing region,4. Lower middle income,Asia,Asia,Southern Asia,South Asia,80.6673312903979,7.87889232000009,25.3300109863281,25.8200012207031,26.2400146484375,27.2700134277344,26.1650100708008,21413250,4759.975,10240.5,195.5,195.5,478.231935834121,9.12986118407995,9.12986118407995,-1,47,61,100,663,7,154,30.962137928619,0.326900400452991,7.19180880996579,0.004749902172489,96749497.1090289,18904.2090298688,0.276590146116574,7.10094588168496,18352.3961547117,0.044699062100454,306.255378923095,18375.7331948446,1/27/2020,94
LUX,Luxembourg,79.9,84.4,15.9,69.9,14.2,250.1,7.1,1.4,9.0,182.5,217.6,48704.0,3.0,2099102.0,72200,70885325883.0941,59.3,1,86.2,869.1,53.7,35.7,40.9,91,1798,17.4,69,5,10,2.4,98.7,100,4,134,24.2,39.3,0.485,Constitutional parliamentary monarchy,98,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia,6.06510999677758,49.8070384730001,3.67998657226565,3.02999267578127,4.89998779296877,5.58001098632815,4.29749450683596,625976,3974.36,114635,2060,2060,183130.024154281,3290.86099147571,3290.86099147571,5,15,17,82.27,3784,90,3213,6044.96019016704,143.775480210104,5132.78464350071,0.118951093358457,3777.64736235398,18346.8678364465,0.081289632050583,103.015387339094,18356.4700664592,0.010005595073911,285908755.17936,18623.796936451,2/29/2020,61
MAR,Morocco,75.2,77.7,27.2,65.8,7.0,80.7,5.1,2.4,37.5,46.8,37.2,-257096.0,3888.0,8132917.0,8430,117921394402.361,45.3,34.7,30.6,5056.8,68.5,12.6,30.8,62.5,848,1.8,100,7,12.4,22.4,79,100,22.1,150,25.6,29.3,0.427,Constitutional monarchy,37,6. Developing region,4. Lower middle income,Africa,Africa,Northern Africa,Middle East & North Africa,-9.90629658184228,28.67975495,15.1,13.3900085449219,17.0800109863281,15.339990234375,15.2275024414063,36910558,4156.66,73413.5,3720,3720,1988.9566557081,100.784171293211,100.784171293211,2,18,23,93.38,4423,170,984,119.830212266095,4.60572825802308,26.6590388582042,0.042925916019935,10415.7332412659,18377.2504382282,0.106086915603719,177.475873052241,18356.2753841366,0.009311781511606,23707452.5851924,18630.6181265517,3/2/2020,59
MDA,Moldova,67.5,76.1,15.9,72.7,11.4,123.5,11.6,1.3,57.4,54.5,31.1,-6935.0,2401.0,1135999.0,7620,11443671435.9024,43.1,35.9,88.1,210.4,74.2,12.6,4.2,42.6,456,1.4,100,5.7,24.9,15.8,68.9,100,14.5,106,20.1,36.7,NA,Parliamentary republic,60,6. Developing region,4. Lower middle income,Europe,Europe,Eastern Europe,Europe & Central Asia,28.8230104227757,46.9730124925001,3.3699890136719,1.39998779296877,4.74001464843752,7.99001464843752,4.37500152587893,4033963,4258.68,63096.5,1554,1554,15641.3184751571,385.229115884305,385.229115884305,-13,3,16,90.74,3897,116,1182,966.047531918364,28.7558413401412,293.01210744868,0.05683292169134,6225.94760933939,18369.3364895884,0.055523434389336,229.067723374581,18375.4426583943,0.08078552434658,2463.98686245524,18378.3938876751,3/8/2020,53
MDG,Madagascar,65.1,68.3,40.7,56.3,3.0,45.1,6.1,4.1,62.8,34.4,30.9,-7500.0,298.0,541290.0,1840,13853432868.227,86.1,64.2,93.7,127.4,71.2,21.4,5.6,37.2,14286,0.1,100,4.5,22.9,53.6,6.3,24.1,20.2,89,4.5,19.7,0.527,Semi-Presidential Republic,61,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa,46.728566758427,-18.7690162089999,19.3200012207031,18.6299987792969,18.7900024414063,17.1899963378906,18.4824996948242,27691019,3580.005,3350,0,0,120.977852060988,0,0,-5,1,16,94.84,128,0,92,4.62243733247953,0,3.32237683271966,0.120834558192873,130.673893371737,18351.7501704247,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.056119417700329,245.002056098004,18381.7414109385,3/20/2020,41
MEX,Mexico,72.1,77.8,26.6,66.2,7.2,64.9,6.0,2.1,19.8,39.5,37.7,-300000.0,12870.0,64569640.0,19340,1220699479845.98,60.7,12.6,56.3,16345.6,54.6,33.9,14.5,80.2,3398,4,100,13.5,15.7,12.7,82.4,100,5,132,28.4,28.3,NA,Presidential Republic,62,4. Emerging region: MIKT,3. Upper middle income,North America,Americas,Central America,Latin America & Caribbean,-102.258149518645,23.6292664240001,11.610009765625,11.3099914550781,13.0800109863281,18.0299926757813,13.5075012207031,128932753,3169.075,228031,18596.5,18596.5,1768.60413428076,144.234103184006,144.234103184006,0,25,31,85.45,19224,1859,11423,149.100981346454,14.4183689306626,88.5965725093918,0.019453475162876,630721.622353464,18446.2509049216,0.038487008676255,11519.9690894646,18397.682709302,0.012493489520753,796098464.864248,18574.3125697461,2/28/2020,62
MLI,Mali,58.1,59.6,47.5,49.9,2.6,15.6,9.7,5.9,57.6,35.8,22.2,-200000.0,158275.0,NA,2260,17163432832.0957,70.8,62.6,76,90.4,33.8,3.8,8.2,42.4,3543,0.1,100,2.4,24.6,97.8,29.4,43.1,6.1,141,7.1,15.8,0.711,Semi-Presidential Republic,41,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa,-0.754059977365043,17.6056706750001,23.339990234375,22.1499877929688,24.360009765625,29.6199890136719,24.8674942016602,20250834,2925.365,5759,374,374,284.383349347489,18.4683751790173,18.4683751790173,-7,0,0,76.19,490,26,135,24.1965343254505,1.28389773971778,6.6663921100731,0.035594512845827,2661.92270148907,18396.5536957946,0.050016847326213,54.155457744141,18375.8995770337,0.036347561720484,1090.00747796312,18401.7733930798,3/25/2020,36
MMR,Myanmar,63.8,69.9,26.4,67.8,5.8,82.2,8.2,2.2,69.4,28.0,20.0,-816564.0,1145154.0,3407788.4,6500,71214803377.8284,61.7,48.9,61.4,230.7,19.5,43.6,6.4,30.6,19185,0.4,100,3.9,24.2,46.2,59.3,69.8,10.6,118,5.7,28.2,0.735,Semi-Parliamentary Republic,30,7. Least developed region,5. Low income,Asia,Asia,South-Eastern Asia,East Asia & Pacific,95.9082777255587,19.2618357340001,22.839990234375,22.8799987792969,24.2900024414063,28.3699890136719,24.5949951171875,54409794,4022.93,2387.5,108,108,43.8799676396496,1.98493675605535,1.98493675605535,-81,-1,21,85.06,151,6,27,2.77523564966998,0.110274264225297,0.496234189013838,0.097122473508022,203.83164975411,18366.9697438113,0.145392663936918,5.66442588945378,18359.2101141488,0.010563691117437,47191170.7392165,18634.5387435125,3/27/2020,34
MNG,Mongolia,65.6,74.0,30.4,65.5,4.1,2.0,6.3,2.9,31.6,57.4,59.8,-4262.0,2254.0,670360.0,12500,13066749138.3261,59.7,27.4,80.3,140.9,71.5,8,17.7,68.4,11836,7.1,97,4.7,30.2,16.3,41.5,85.9,6.8,113,19.6,28.3,NA,Semi-Presidential Republic,84,6. Developing region,4. Lower middle income,Asia,Asia,Eastern Asia,East Asia & Pacific,105.408425665267,46.8586913050001,-14.8400024414062,-15.4,-11.1000122070312,-4.6099914550781,-11.4875015258789,3278292,5939.65,915,0,0,279.10875541288,0,0,-69,-43,26,67.99,38,0,10,11.5914018641414,0,3.05036891161617,0.031065404739477,92.2408472100431,18374.838408235,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.052327855194499,18.5370092410229,18371.2156294889,3/10/2020,51
MOZ,Mozambique,57.1,63.0,44.7,52.4,2.9,37.5,8.5,4.9,64.0,61.1,38.6,-25000.0,58.0,540124.0,1430,14717223206.9,78.1,70.3,97.8,139.3,63.5,48,21.6,36,3816,0.3,100,3.3,18.4,73.2,16.8,27.4,5.5,106,6,17.2,0.676,Semi-Presidential Republic,45,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa,34.6710617027202,-18.6374659219999,31.1499877929688,30.360009765625,28.6799865722656,29.8099914550781,29.9999938964844,31255435,2489.955,1080,0,0,34.5539903699949,0,0,-40,6,10,53.83,76,0,12,2.43157710011075,0,0.383933226333276,0.018927847035464,2343.10689713782,18445.3966354587,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.172749181679686,14.816310808092,18370.2385456649,3/22/2020,39
MRT,Mauritania,63.1,66.3,40.1,56.8,3.1,4.3,7.2,4.6,46.3,72.0,46.0,25002.0,37059.0,454435.7,4120,5234817927.17087,45.9,51.3,45.8,20.3,38.5,0.2,0.6,53.7,102,0.7,100,7.1,18.1,75.7,18.9,42.9,0.3,124,11.3,20.5,0.446,Semi-Presidential Republic,34,7. Least developed region,5. Low income,Africa,Africa,Western Africa,Sub-Saharan Africa,-11.4826483011782,21.011440334,22.3300109863281,20.839990234375,24.8699890136719,25.8200012207031,23.4649978637696,4649660,3599.545,246,31.5,31.5,52.9070942821626,6.77468890198423,6.77468890198423,-38,5,15,80.95,8,1,6,1.72055591161504,0.21506948895188,1.29041693371128,0.128222685035842,7.38945896354816,18344.3763721377,36.8643757850181,1,18350.0970128131,0.033741020052909,21.0463392862191,18385.4474912927,3/14/2020,47
