"ISO_A3","Country_Name","population_WDI","esperance_vie_hom","esperance_vie_fem","pop_0a14_pcent","pop_15a64_pcent","densite_pop","tx_mortalite_p1000","tx_fertilite","pop_rurale_pcent","imports_pcentGDP","exports_pcentGDP","dette_totale","aide_dvpt_pcentGDI","immigration","pop_refugies","transport_aerien","traffic_containers","PIB_par_habitant","PIB_pays","pauvrete_seuil_nat_pcentpop","pauvrete_5.50usd_pcentpop","GINI_index","taux_emploi_pcent","emploi_agric_pcentemploi","ratio_F_H_emploi","depense_recherche_pcentPIB","articles_scient","depense_milit_pcentPIB","surface_agri_pcent","surface_foret_pcent","zones_terr_protegees_pcent","pop_urbaine_pcent","pop_urb_1M_pcent","ressource_eau_pcapita","emissions_CO2","pop_expo_partic_fine_pcent","pop_diabete_pcent","mortalite_maladies_pcent","mortalite_infant_0a5","medecins_p1000","lits_hopital_p1000","depense_educ_pcentPIB","taux_scolarisation_pcent","taux_reussite_primaire_pcent","indice_parite_ecole","pop_rurale_sanitaire_pcent","acces_electricite_pcent","tourisme_internat_pcentexport","apport_nrj_alim_pcentbesoin","preval_obesite_adult_pcent","age_median","indice_dvpt_humain","ventes_PUT_kg_percapita","groupe_economie_pays","groupe_PIB_pays","continent","region_ONU","sous_region","region_WB","Long","Lat","temp_dec19","temp_jan20","temp_fev20","temp_mar20","temp_mean","population","cumul_tests","cumul_tests_p_million","type_test","AUC_SI","date_SI_sup0","date_SI_sup50","date_SI_max","SI_max","residential_change","residential_date_split","mobility_change_index","mobility_change_index_date_split","confirmed_30avr","deaths_30avr","recovered_30avr","confirmed_p_million","deaths_p_million","recovered_p_million","b_confirmed","Asym_confirmed","xmid_confirmed","b_deaths","Asym_deaths","xmid_deaths","b_recovered","Asym_recovered","xmid_recovered","date_first_cases","days_since_first_cases"
"DOM","Dominican Republic",10627165,70.8,77.2,28,64.9,220,6.2,2.3,18.9,26.5,23.7,15.6,0.1,-150000,477,"NA",1922088,16950,85555390387.0355,22.8,15.9,42.2,64.3,9,66.4,"NA",49.3,0.7,48.7,41.7,26.2,81.1,6.4,2312,2.1,100,8.6,19,28.8,1.56,1.6,"NA",107.8,95.3,1,73.6,100,37.4,115,26.9,28.1,0.724,"NA","6. Developing region","3. Upper middle income","North America","Americas","Caribbean","Latin America & Caribbean",-70.1252786103869,18.7765477530001,24.4099975585938,23.6400085449219,24.9399963378906,23.8099914550781,24.1999984741211,10847904,"NA","NA","NA",3508.525,1,18,48,95.37,27.1937984496124,17,69.1169837914024,17,6972,301,1301,642.704802697369,27.747295698782,119.931002339254,0.048377533030465,12651.3339644937,18371.4211731996,0.076130276883974,377.87331956571,18362.3232293539,0.04121712732206,12550.1841094658,18401.4980823085,"2020-03-01",60
"DZA","Algeria",42228429,75.5,77.9,30.1,63.5,17.7,4.7,3,27.4,33.2,22.7,0.6,"NA",-50002,4201,6442442,1465800,"NA",173757952824.25,"NA","NA","NA",41.2,9.9,21.6,0.5,5231.4,5.3,17.4,0.8,7.5,72.6,"NA",289,3.7,100,6.7,14.2,23.5,1.83,"NA","NA",111.8,105.6,"NA",82.2,100,0.5,146,26.6,28.1,0.745,97.8,"6. Developing region","3. Upper middle income","Africa","Africa","Northern Africa","Middle East & North Africa",0.587503163946603,28.0509891770001,15.4099975585938,12.7700134277344,18.5800109863281,20.839990234375,16.9000030517578,43851043,"NA","NA","NA",3165.41,9,27,49,84.54,"NA","NA","NA","NA",4006,450,1779,91.3547255877129,10.2620136082054,40.5691604644387,0.048370810218494,6241.08214995945,18367.5358479403,0.124102215624752,464.760005929562,18358.0245075333,0.086567644594343,2448.25409416365,18369.3682721278,"2020-02-25",65
"ECU","Ecuador",17084357,74.1,79.6,28,64.8,68.8,5.1,2.4,36.2,21.6,20.8,30,0.4,182000,1431,5365261,2433500,11420,108398058000,23.2,23.2,44.7,68,29.2,68.1,"NA",2142.2,2.4,22.2,50.2,21.7,63.8,25.6,27733,2.8,98,5.5,13,14.2,2.05,1.5,"NA",103.5,105.4,1,83,100,7.6,114,19.3,27.7,0.758,88,"6. Developing region","3. Upper middle income","South America","Americas","South America","Latin America & Caribbean",-78.281430491757,-1.78871903749992,15.0299926757813,15.7799926757813,15.5500122070313,17.1299987792969,15.8724990844727,17643060,43727,2478.42494442574,"samples tested",4497.645,-35,14,16,95.37,32.1935483870968,15,77.3156989247312,15,24934,900,1558,1413.24690841611,51.0115592193191,88.3066769596657,0.007490630821023,810321368.584973,18693.2981718501,0.033018875791177,2954.66236533743,18389.1596572519,0.12500581311153,1809.25730494774,18365.9504364958,"2020-03-01",60
"EGY","Egypt, Arab Rep.",98423595,69.6,74.2,33.8,61,98.9,5.8,3.3,57.3,29.3,15.8,15.3,0.8,-190164,24864,12340832,6151900,12100,250894760351.232,"NA",70.4,31.5,46.4,23.8,31,0.7,13326.7,1.2,3.8,0.1,13.1,42.7,19.5,20,2.2,100,17.2,27.7,21.2,0.81,0.5,"NA",106.1,97.2,1,91.1,100,24.6,153,31.1,23.9,0.7,32.3,"5. Emerging region: G20","4. Lower middle income","Africa","Africa","Northern Africa","Middle East & North Africa",29.4641384240001,26.8243879250001,15.2900024414063,12.2900024414063,14.0100036621094,18.3799987792969,14.9925018310547,102334403,"NA","NA","NA",3196.555,30,36,39,88.75,14.1215384615385,26,45.5756983791402,26,5537,392,1381,54.1069262894903,3.8305788523533,13.4949729466834,0.025189058521808,30872.3292037975,18403.7156611243,0.040669666163013,920.605891519887,18378.680613641,0.027273636483661,7923.93580614048,18401.925984524,"2020-02-14",76
"ERI","Eritrea","NA",63.8,68.2,"NA","NA","NA",7.2,4.1,"NA","NA","NA","NA","NA",-199290,507267,102729,"NA","NA","NA","NA","NA","NA",78.4,61.2,83.6,"NA",21.4,"NA",75.2,14.9,4.9,"NA",25.7,"NA","NA",100,5.1,23.9,41.9,"NA","NA","NA",68.5,64.2,0.9,5.6,48.4,"NA","NA",4.1,19.7,0.667,"NA","7. Least developed region","5. Low income","Africa","Africa","Eastern Africa","Sub-Saharan Africa",38.0838340803251,15.1818098005,28.3799987792969,26.1799865722656,27.089990234375,29.2799926757813,27.7324920654297,3546427,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",39,0,26,10.9969837247461,0,7.33132248316404,0.184578194857918,38.9307612690563,18351.3981331302,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.07671277849026,126.177319689254,18388.5767481368,"2020-03-21",40
"ESH","Western Sahara","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",21.1,0.588,"NA","7. Least developed region","5. Low income","Africa","Africa","Northern Africa","Middle East & North Africa",-12.5929728108032,24.2002552285001,19.5700012207031,18.2400146484375,22.35,22.3900085449219,20.6375061035156,597330,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6,0,5,10.0446989101502,0,8.37058242512514,0.354745836555242,5.98760473755525,18357.0265272549,0.099999998746877,3.27995050282241E-13,18350.0000000863,37.1772436860878,5,18374.0965706553,"2020-04-05",25
"ESP","Spain",46796540,80.7,86.1,14.7,66,93.5,9.1,1.3,19.7,31.6,35.2,"NA","NA",200000,48,80672105,17189759,39800,1419041949909.82,"NA",2.2,34.7,57.5,4.1,81.7,1.2,54536.6,1.3,52.6,36.9,28.1,80.3,"NA",2392,5,41,6.9,9.9,3,4.07,3,4.2,102.7,100.6,1,100,100,16.3,130,27.1,42.7,0.434,"NA","2. Developed region: nonG7","1. High income: OECD","Europe","Europe","Southern Europe","Europe & Central Asia",-3.47652543818091,39.8994766265,10.3200012207031,8.02999267578127,12.2000061035156,13.3300109863281,10.9700027465821,46754783,1351130,28898.2198890753,"tests performed",4233.175,-1,42,58,89.41,28.2531181217902,42,82.4213678684974,41.5,213435,24543,112050,4564.98750085098,524.930251521005,2396.54625281867,0.089894569559434,228314.892054255,18350.5573111696,0.086525897775926,26035.8107871714,18353.5646267053,0.073261428011703,129528.051569366,18360.3883533564,"2020-02-01",89
"EST","Estonia",1321977,74.3,83,16.4,64,30.4,11.9,1.6,31.1,71.9,76.1,"NA","NA",19555,280,31981,222700,34970,30732144528.9795,"NA",1.1,30.4,63.6,3.2,80.4,1.3,1414.7,2.1,23.1,51.3,20.2,68.9,4,9669,14.8,0,4.2,17,2.6,3.47,5,5.2,97.2,97.2,1,99.4,100,10.2,127,23.8,42.7,0.882,120.9,"2. Developed region: nonG7","1. High income: OECD","Europe","Europe","Northern Europe","Europe & Central Asia",25.4931699663361,58.5884870465001,2.0100036621094,2.36000976562502,1.05999145507815,2.30999145507815,1.93499908447268,1326539,55754,42029.6727046849,"tests performed",3220.255,14,18,31,80.29,14.2579710144928,17,33.3997160444355,17,1689,52,249,1273.23810306369,39.1997521369519,187.70650542502,0.074877297858999,1856.60173527481,18349.8738285794,0.096088997877742,57.7882939836689,18360.4489368798,0.051198988447626,460.306409387601,18371.9127956481,"2020-02-27",63
"ETH","Ethiopia",109224559,64.4,68.2,40.8,55.7,109.2,6.6,4.2,79.2,23.5,7.6,20.8,5.9,150002,92234,11501244,"NA",2010,84355604752.5299,"NA","NA","NA",79.6,66.1,85.6,0.3,1994.4,0.6,36.3,12.5,18.5,20.8,17.4,1244,0.1,100,4.3,18.3,55.2,0.1,"NA","NA","NA","NA","NA",4.2,44.3,46.5,105,3.6,17.9,0.608,"NA","7. Least developed region","5. Low income","Africa","Africa","Eastern Africa","Sub-Saharan Africa",38.9690651851318,9.12909505200007,12.6499877929688,13.4599853515625,14.2600036621094,14.7300048828125,13.7749954223633,114963583,17842,155.19697224468,"tests performed",2551.905,3,13,26,76.19,"NA","NA","NA","NA",131,3,59,1.13949127698986,0.026095220083737,0.513205994980167,0.063981739439183,178.96056035432,18362.1741117249,0.49873402511723,2.99563609889596,18356.8782789075,0.007975170554646,52822931.0123102,18710.0568285627,"2020-03-13",48
"FIN","Finland",5515525,79.2,84.6,16.1,62.1,18.2,9.9,1.5,14.6,37.6,37.7,"NA","NA",70000,5,13364839,1592090,48580,276743120515.764,"NA",0.1,27.4,59.1,3.6,88.5,2.8,10598.9,1.4,7.5,73.1,15,85.4,"NA",19592,8.7,0,5.6,10.2,1.7,3.81,4.9,6.9,100.2,101.5,1.1,99.5,100,5.3,133,24.9,42.5,0.47,"NA","2. Developed region: nonG7","1. High income: OECD","Europe","Europe","Northern Europe","Europe & Central Asia",27.4157281406753,64.9438947610001,-2.66998901367185,-3.16000976562498,-4.45999755859373,-1.94998779296873,-3.05999603271482,5540718,106956,19303.6353772201,"samples tested",3870.805,-2,47,59,75.13,12.2724637681159,46,38.7498474417693,46.5,4995,211,3000,901.507710733519,38.0817071000545,541.446072512624,0.04755398983398,7372.38576270053,18362.3951475336,0.040326355331837,825.440961859527,18388.3689566769,0.180524010356185,3062.4594875368,18368.1005101772,"2020-01-29",92
"FJI","Fiji",883483,65.6,69.2,29.5,65,48.4,8.2,2.8,43.8,"NA","NA",1.8,2.2,-31008,678,1670216,92691,10140,5536759658.87012,"NA","NA","NA",57.6,36.3,50.3,"NA",139.8,0.9,23.3,55.9,5.4,56.2,22.8,32950,1.4,83,14.7,30.6,25.6,"NA","NA","NA","NA","NA","NA",94.7,96,51.3,126,30,28.9,"NA","NA","6. Developing region","4. Lower middle income","Oceania","Oceania","Melanesia","East Asia & Pacific",177.98577437174,-17.7920061179999,25.4699951171875,25.1899963378906,26.089990234375,25.4599853515625,25.5524917602539,896444,"NA","NA","NA","NA","NA","NA","NA","NA",16.1078431372549,0,35.6774595035858,3,18,0,12,20.079335686334,0,13.3862237908893,0.119797909401613,19.1434606760317,18351.3444630699,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.53456813449405,12.2470283283467,18373.0821078285,"2020-03-19",42
"FLK","Falkland Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2. Developed region: nonG7","1. High income: OECD","South America","Americas","South America","Latin America & Caribbean",-58.6138862700746,-51.7942440734999,8.54000244140627,9.74001464843752,9.70000610351565,9.55001220703127,9.38250885009768,3483,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",13,0,11,3732.41458512776,0,3158.19695664657,0.181154758120175,13.4548869725265,18361.6636113745,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.350630878160076,12.3063920413028,18372.6118316915,"2020-04-04",26
"FRA","France",66977107,79.6,85.6,18,62,122.3,9.2,1.9,19.6,31.9,30.8,"NA","NA",182636,61,70188028,6369200,46360,2777535239277.97,"NA",0.1,31.6,55.1,2.4,84.7,2.2,66352.2,2.3,52.4,31.2,25.8,80.4,"NA",3016,4.6,78,4.8,10.6,4,3.23,6.5,"NA",102.5,"NA",1,98.9,100,8.1,138,23.2,41.4,0.724,"NA","1. Developed region: G7","1. High income: OECD","Europe","Europe","Western Europe","Europe & Central Asia",2.18758911126355,46.7058498165001,6.96999511718752,6.42998657226565,8.33999023437502,8.49001464843752,7.55749664306643,65273512,724574,11100.5824230815,"tests performed",4550.585,-1,52,53,89.41,26.2250896057348,52,71.642008797654,52,165764,24345,48572,2539.52935763591,372.969053664525,744.13032961977,0.069959144930664,208489.636759622,18357.0848962342,0.09175805724038,27444.5825422092,18359.0425629583,0.068779556939882,60252.5750885087,18360.8991483778,"2020-01-24",97
"FRO","Faroe Islands",48497,80.5,84.7,"NA","NA",34.7,7.7,2.5,57.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.1,0.1,2.3,42.1,"NA","NA",12.5,"NA",4.7,"NA","NA","NA","NA","NA","NA","NA","NA","NA",100,"NA","NA","NA",37.6,0.925,172.7,"2. Developed region: nonG7","2. High income: nonOECD","Europe","Europe","Northern Europe","Europe & Central Asia",-6.78830683843044,62.199184475,2.99001464843752,3.21999511718752,1.93999633789065,2.32000122070315,2.61750183105471,48865,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",187,0,184,3826.86994781541,0,3765.47631228896,0.199459631808146,186.195940081339,18340.1724646682,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.114181343756865,191.334239098308,18351.659264859,"2020-03-04",57
"GAB","Gabon",2119275,64.2,68.3,37,59.4,8.2,6.8,4,10.6,24.8,50.2,"NA",0.7,16301,347,"NA",156000,16700,16853589311.4139,"NA",32.2,38,52.9,32.8,70.4,"NA",63.8,1.5,20,90,22.4,89.4,26.8,87058,2.8,100,6,14.4,44.8,0.36,"NA","NA","NA","NA","NA",37.4,92.2,0.8,122,13.4,18.6,0.891,125.4,"6. Developing region","3. Upper middle income","Africa","Africa","Middle Africa","Sub-Saharan Africa",11.7338000967748,-0.815199476999936,27.4099975585938,27.9800048828125,27.7900024414063,28.1599975585938,27.8350006103516,2225728,"NA","NA","NA",3514.99,-52,6,27,80.42,19.1839721254355,6,33.4344541231127,6,276,3,67,124.004370704776,1.34787359461713,30.1025102797826,0.023714108489794,5509.84880588011,18428.2652131041,0.003301706216901,8687547.35158919,19200.1099161858,0.040084635633354,2804.51904652997,18414.5339602291,"2020-03-14",47
"GBR","United Kingdom",66460344,79.6,83.2,17.7,63.9,274.8,9.3,1.7,16.6,31.6,30.4,"NA","NA",1303250,82,165388610,11695222,45350,2855296731521.96,"NA","NA","NA",62.8,1,84.6,1.7,97680.9,1.8,71.7,13.1,28.7,83.4,28.9,2244,6.5,67,3.9,10.9,4.3,2.8,2.8,5.5,101.2,100.1,1,99.5,100,5.7,135,29.5,40.5,"NA","NA","1. Developed region: G7","1. High income: OECD","Europe","Europe","Northern Europe","Europe & Central Asia",-1.91165220035512,54.3140933285001,4.05001220703127,4.67998657226565,4.42000732421877,4.77999267578127,4.48249969482424,67886004,1206405,17771.0415831811,"tests performed",3391.435,2,52,55,82.27,21.7657657657658,51,54.503975242356,51,171253,26771,0,2522.65547991306,394.352273260921,0,0.059560794009345,245948.715806489,18365.5015596652,0.074129449933091,34996.5568823685,18364.7409624453,0.479614893096315,86.1609961849184,18336.9269435471,"2020-01-31",90
"GEO","Georgia",3726549,69.2,78,19.8,65.3,65.3,12.8,2.1,41.4,57.5,46.5,29.3,3.5,-50000,6975,516034,285000,11500,17599660629.0202,20.1,43.6,37.9,68.3,41.8,71,0.3,550.4,1.9,34.5,40.6,8.3,58.6,18.5,15629,2.4,100,5.8,24.9,9.8,"NA",2.6,3.8,100.4,113.7,1,82.7,100,39.5,116,23.3,38.1,"NA","NA","6. Developing region","4. Lower middle income","Asia","Asia","Western Asia","Europe & Central Asia",43.6369626747885,42.2869553660001,3.27999267578127,-0.239996337890602,0.719995117187523,6.61000976562502,2.5925003051758,3989175,"NA","NA","NA","NA","NA","NA","NA","NA",19.0738636363636,20,55.6953480279655,19.5,539,6,184,135.115656746069,1.50407039049428,46.1248253084911,0.034984368352526,1219.03563958325,18375.8563472249,0.084065752905126,7.26615414137777,18363.3505272102,0.020057434731126,2510.2096554037,18430.0934930789,"2020-02-26",64
"GHA","Ghana",29767108,62.7,64.9,37.6,59.3,130.8,7.3,3.9,43.9,38.4,35.3,9.4,1.7,-50000,18086,467438,1009400,4650,65556464048.1539,"NA","NA","NA",67.8,29.3,88.5,"NA",1276,0.4,69,41.2,15.1,56.1,"NA",1113,0.5,100,2.5,20.8,47.9,0.13,"NA",4.5,105.5,94.7,1,11.9,79,4.4,136,9.7,21.1,0.702,"NA","6. Developing region","4. Lower middle income","Africa","Africa","Western Africa","Sub-Saharan Africa",-1.07720574966939,7.9518413290001,27.5299926757813,27.8900085449219,29.7400146484375,30.0299926757813,28.7975021362305,31072945,129461,4166.35758213455,"units unclear",2812.71,-50,16,35,84.67,19.1193181818182,15,36.9454786981311,15,2074,17,212,66.7461677674903,0.547099735799101,6.82265552878879,0.019813710524646,45914.3673425382,18440.2617393987,0.027603049885635,39.0118470991725,18383.3089510576,0.017672009666908,24553.1736630226,18470.1493095713,"2020-03-14",47
"GIB","Gibraltar",33718,"NA","NA","NA","NA",3371.8,"NA","NA",0,"NA","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,32.4,100,14.8,"NA",15.7,"NA","NA","NA","NA","NA","NA","NA",103.5,92.3,1,"NA",100,"NA","NA","NA",34.7,0.466,"NA","2. Developed region: nonG7","1. High income: OECD","Europe","Europe","Southern Europe","Europe & Central Asia",-5.34627591313647,36.1268374695001,14.589990234375,12.35,15.4699951171875,15.4699951171875,14.4699951171875,33691,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",144,0,131,4274.13849395981,0,3888.27876881066,0.152012393448623,139.458858855778,18348.7366389765,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.087229523498987,156.109270478598,18358.1146474735,"2020-03-04",57
"GIN","Guinea",12414318,60.5,61.7,43.9,53.2,50.5,8.5,4.7,63.9,56.6,44.7,1.9,5.5,-20000,23493,"NA",171900,2460,10907214993.5687,"NA","NA","NA",61.5,61.7,104.1,"NA",27.8,2.5,59,25.8,35.6,36.1,"NA",20267,0.2,100,2.4,22.4,100.8,0.08,"NA",2.5,"NA","NA","NA",16.6,35.4,0.2,119,6.6,18.9,0.786,62.5,"7. Least developed region","5. Low income","Africa","Africa","Western Africa","Sub-Saharan Africa",-9.67599433901555,9.93226308250009,25.1499877929688,24.9399963378906,28.1,28.9999938964844,26.797494506836,13132792,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1495,7,329,113.837179481713,0.533016893894307,25.0517940130324,0.030493029181942,14483.0397247665,18409.3167287121,0.404054098253031,7.0074936912569,18369.0731220109,0.079788001939875,800.864191469277,18380.7369443402,"2020-03-13",48
"GLP","Guadeloupe","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",29,0.939,218.5,"NA","NA","NA","NA","NA","NA",-61.565542,16.253345,26.2900024414063,25.6400085449219,25.4200073242188,25.3099914550781,25.6650024414063,400127,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",151,12,95,377.380181792281,29.9904780232276,237.424617683885,0.147811347218376,150.583334733143,18343.3114199412,0.090042332157592,12.5396806711916,18353.4430186446,0.116184488102573,89.3089850887381,18356.4932536883,"2020-03-13",48
"GMB","Gambia, The",2280102,60.4,63.2,44.3,53.1,225.3,7.9,5.2,38.7,39,22.5,16.8,14.5,-15436,17251,53735,65252,2570,1632823198.95828,"NA","NA","NA",59.4,27.1,75.3,"NA",33.8,1.1,59.8,48.4,4.1,61.3,"NA",1482,0.3,100,1.9,20.4,58.4,"NA","NA",2.1,95.2,"NA","NA",29.6,56.2,48.3,119,8.7,21,0.596,"NA","7. Least developed region","5. Low income","Africa","Africa","Western Africa","Sub-Saharan Africa",-14.3404722688415,13.4427757835001,27.4999938964844,27.5700012207031,31.4399963378906,32.4200073242188,29.7324996948242,2416664,"NA","NA","NA",3446.9,-39,1,11,84.78,"NA","NA","NA","NA",11,1,8,4.55172916052873,0.413793560048066,3.31034848038453,0.05953341741969,13.8445384265782,18356.8613340519,36.5788424097546,1,18343.0968252834,0.00614085904145,21858652.7926439,18820.376221961,"2020-03-17",44
"GNB","Guinea-Bissau",1874309,56,59.9,42.3,54.8,66.7,9.6,4.5,56.6,33.1,27.8,1.9,10.5,-6996,2049,"NA","NA",1800,1458156026.16376,"NA","NA","NA",72,68.1,83.7,"NA",15,"NA",58,69.8,16.7,43.4,"NA",9454,0.2,100,2.4,20,81.5,"NA","NA","NA","NA","NA","NA",8.2,26,5.3,100,8.2,20.1,"NA","NA","7. Least developed region","5. Low income","Africa","Africa","Western Africa","Sub-Saharan Africa",-14.3541348294056,11.8017845725001,26.9800048828125,27.1299987792969,30.3900085449219,30.7499938964844,28.8125015258789,1967998,"NA","NA","NA","NA","NA","NA","NA","NA",0,"NA",20.5651133751248,-3.5,205,1,19,104.166772527208,0.508130597693697,9.65448135618024,0.00629955959144,1833431146.33296,18825.4181071978,37.545950502819,1,18377.0959504498,3.85395497922207,18.6812278764003,18378.1565628545,"2020-03-25",36
"GNQ","Equatorial Guinea",1308974,57.4,59.6,37.1,60.4,46.7,9.3,4.5,27.9,40.2,57.5,"NA",0.1,79998,144,466435.1,10497,17460,13432377049.5402,"NA","NA","NA",62,42.4,81.7,"NA",2.6,"NA",10.1,55.5,19.3,72.1,29.4,23167,4.8,100,6,22,85.3,"NA","NA","NA","NA","NA","NA",57.3,67.2,"NA","NA",7.4,19.8,0.872,87.4,"7. Least developed region","2. High income: nonOECD","Africa","Africa","Middle Africa","Sub-Saharan Africa",10.4737009972704,1.63060130450006,27.4599853515625,28.2400146484375,28.089990234375,27.8000122070313,27.8975006103516,1402985,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",315,1,9,224.521288538366,0.712765995359893,6.41489395823904,0.038777903203319,5226.61199096345,18407.5395393941,37.6583968509673,1,18373.095386737,0.050996307118643,18.695160347967,18374.9030517163,"2020-03-15",46
"GRC","Greece",10731726,78.8,83.9,14.1,64.3,83.2,11.2,1.4,20.9,34,33,"NA","NA",-80000,107,15125933.5,5324000,29670,218031844583.994,"NA",4.4,34.4,51.8,12,73.9,1.1,10907,2.4,47.6,31.7,35.2,79.1,"NA",5325,6.2,100,4.7,12.4,4.5,4.59,"NA","NA",99.6,96.8,1,98.1,100,26.4,134,27.4,44.5,"NA","NA","2. Developed region: nonG7","1. High income: OECD","Europe","Europe","Southern Europe","Europe & Central Asia",21.9526761055872,39.0703189145001,8.83001098632815,5.67000732421877,7.49001464843752,8.67998657226565,7.66750488281252,10423056,79332,7611.2034704601,"tests performed",3961.59,-1,17,26,87.96,20.4688187820983,17,55.7708582259023,17,2591,140,1374,248.583524831873,13.4317612799931,131.823142847933,0.076052379023834,2778.32459386646,18347.941084407,0.076909043487898,154.523901649155,18354.2324739383,0.006345181402632,95046700.0013649,18768.1089968921,"2020-02-26",64
"GRD","Grenada",111454,70.1,74.9,23.6,66.8,327.8,9.6,2.1,63.7,53.1,51.3,9.4,2.9,-1000,97,"NA",23900,14100,1185925925.92593,"NA","NA","NA","NA","NA","NA","NA",46.2,"NA",23.5,50,9.8,36.3,"NA",1837,2.2,100,10.7,21.4,15.2,1.45,3.7,"NA",111.4,121,1,"NA",94.7,84.3,98,20.2,31.5,0.763,"NA","6. Developing region","3. Upper middle income","North America","Americas","Caribbean","Latin America & Caribbean",-61.6774808456991,12.1233177755001,27.0599914550781,26.4500061035156,26.3699890136719,26.3799987792969,26.5649963378906,112519,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",20,0,13,177.7477581564,0,115.53604280166,0.125622986936229,16.8208549239171,18349.1703998451,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.107276722762391,18.1702340506279,18374.8321598716,"2020-03-22",39
"GRL","Greenland",56025,"NA","NA","NA","NA",0.1,8.7,2,13.2,44,40.9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",30,"NA",0.6,0,41.2,86.8,16.5,"NA",9,80,2.1,"NA","NA","NA","NA","NA","NA","NA","NA",99.6,100,"NA","NA","NA",33.9,"NA","NA","2. Developed region: nonG7","2. High income: nonOECD","North America","Americas","Northern America","Europe & Central Asia",-40.3334236059301,71.811000881,-26.4800018310547,-29.7200073242187,-26.7300018310547,-28.4700073242187,-27.8500045776367,56772,"NA","NA","NA",3573.575,-14,2,10,86.9,"NA","NA","NA","NA",11,0,11,193.75748608469,0,193.75748608469,0.258474013192039,11.078553255777,18343.3846681387,0.099999998746877,3.27995050282241E-13,18350.0000000863,0.489621057196088,11.1658481895398,18356.6072597954,"2020-03-16",45
"GTM","Guatemala",17247807,71.1,76.9,34.4,60.8,161,4.7,2.9,48.9,26.9,18.8,28.6,0.5,-46073,19132,145795,1530600,8310,78460447919.9915,"NA","NA","NA",62.3,31.5,46.2,0,99.9,0.4,36,32.7,20,51.1,"NA",6858,1.2,100,10,14.9,26.2,0.36,"NA",2.8,101.2,79.9,1,50.5,93.3,11.1,116,18.8,22.1,0.651,114.6,"6. Developing region","4. Lower middle income","North America","Americas","Central America","Latin America & Caribbean",-90.2868304692596,15.773891506,22.1700073242188,22.5200134277344,23.360009765625,24.6400085449219,23.172509765625,17915567,"NA","NA","NA",4569.235,-53,2,35,97.35,25.7512544802867,2,58.8128706419029,2,599,16,66,33.434610247055,0.893078070038196,3.68394703890756,0.021061553768888,15487.3382237006,18437.4711661203,0.007851082731949,264136.047449883,18670.3722325127,0.005223501114039,24180395.9565862,18872.0798088407,"2020-03-14",47
